Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","032","Argentina","5157","Agricultural Use","1314","Insecticides - Biopesticides","1993","1993","t","23","A","Official figure","Official figure"
"RP","Pesticides Use","032","Argentina","5157","Agricultural Use","1314","Insecticides - Biopesticides","1994","1994","t","37","A","Official figure","Official figure"
"RP","Pesticides Use","032","Argentina","5157","Agricultural Use","1314","Insecticides - Biopesticides","1995","1995","t","16","A","Official figure","Official figure"
"RP","Pesticides Use","032","Argentina","5157","Agricultural Use","1314","Insecticides - Biopesticides","1996","1996","t","48","A","Official figure","Official figure"
"RP","Pesticides Use","032","Argentina","5157","Agricultural Use","1314","Insecticides - Biopesticides","1997","1997","t","221","A","Official figure","Official figure"
"RP","Pesticides Use","032","Argentina","5157","Agricultural Use","1314","Insecticides - Biopesticides","1998","1998","t","9","A","Official figure","Official figure"
"RP","Pesticides Use","032","Argentina","5157","Agricultural Use","1314","Insecticides - Biopesticides","2014","2014","t","23.6","A","Official figure","Official figure"
"RP","Pesticides Use","032","Argentina","5157","Agricultural Use","1314","Insecticides - Biopesticides","2017","2017","t","20","A","Official figure","Official figure"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2003","2003","t","0.01","A","Official figure","Official figure"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2004","2004","t","0.01","A","Official figure","Official figure"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2005","2005","t","0.02","A","Official figure","Official figure"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2006","2006","t","0.19","A","Official figure","Official figure"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2007","2007","t","0.11","A","Official figure","Official figure"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2008","2008","t","0.03","A","Official figure","Official figure"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2009","2009","t","0.13","A","Official figure","Official figure"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2010","2010","t","0.17","A","Official figure","Official figure"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1314","Insecticides - Biopesticides","2019","2019","t","0.93","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1314","Insecticides - Biopesticides","2011","2011","t","2.4","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1314","Insecticides - Biopesticides","2012","2012","t","2.2","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1314","Insecticides - Biopesticides","2013","2013","t","6.7","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1314","Insecticides - Biopesticides","2014","2014","t","3.3","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1314","Insecticides - Biopesticides","2015","2015","t","6.2","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1314","Insecticides - Biopesticides","2016","2016","t","27","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1314","Insecticides - Biopesticides","2017","2017","t","26","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1314","Insecticides - Biopesticides","2018","2018","t","12","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1314","Insecticides - Biopesticides","2019","2019","t","6","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1314","Insecticides - Biopesticides","2020","2020","t","87","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1314","Insecticides - Biopesticides","2021","2021","t","56","A","Official figure","Official figure"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1314","Insecticides - Biopesticides","2000","2000","t","0.3","A","Official figure","Official figure"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1314","Insecticides - Biopesticides","2001","2001","t","1","A","Official figure","Official figure"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1314","Insecticides - Biopesticides","2003","2003","t","0.35","A","Official figure","Official figure"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1314","Insecticides - Biopesticides","2004","2004","t","1.35","A","Official figure","Official figure"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1314","Insecticides - Biopesticides","2005","2005","t","0.58","A","Official figure","Official figure"
